"speciesType","label","numTrees"
"http://www.wikidata.org/entity/Q1144409","Tsuga heterophylla","32"
"http://www.wikidata.org/entity/Q156957","Amelanchier","43"
"http://www.wikidata.org/entity/Q18674606","Malus domestica","87"
"http://www.wikidata.org/entity/Q61996280","larch","623"
"http://www.wikidata.org/entity/Q12024","Pinus","2178"
"http://www.wikidata.org/entity/Q27355","Taxus","309"
"http://www.wikidata.org/entity/Q157739","Platanus occidentalis","404"
"http://www.wikidata.org/entity/Q159570","Ailanthus altissima","4"
"http://www.wikidata.org/entity/Q59779164","elm tree","326"
"http://www.wikidata.org/entity/Q25243","Betula","1169"
"http://www.wikidata.org/entity/Q158783","Liriodendron tulipifera","6"
"http://www.wikidata.org/entity/Q110767650","Taxus baccata ʽFastigiata’","38"
"http://www.wikidata.org/entity/Q434","Pyrus","1182"
"http://www.wikidata.org/entity/Q183543","Liquidambar","2"
"http://www.wikidata.org/entity/Q45417383","linden tree","6370"
"http://www.wikidata.org/entity/Q146911","Cupressus","1291"
"http://www.wikidata.org/entity/Q1975652","Sequoia","130"
"http://www.wikidata.org/entity/Q6401215","Prunus subg. Prunus","4"
"http://www.wikidata.org/entity/Q156317","Yucca","8"
"http://www.wikidata.org/entity/Q5538","Cotoneaster","81"
"http://www.wikidata.org/entity/Q1317892","Nothofagus alpina","1"
"http://www.wikidata.org/entity/Q26782","Picea","135"
"http://www.wikidata.org/entity/Q132557","Crataegus","500"
"http://www.wikidata.org/entity/Q124969","Corylus avellana","454"
"http://www.wikidata.org/entity/Q59779138","beech tree","1663"
"http://www.wikidata.org/entity/Q26325","Juniperus communis","7"
"http://www.wikidata.org/entity/Q22701","Sambucus nigra","42"
"http://www.wikidata.org/entity/Q59779148","hornbeam","1248"
"http://www.wikidata.org/entity/Q161360","Chamaecyparis lawsoniana","206"
"http://www.wikidata.org/entity/Q30456678","poplar","1155"
"http://www.wikidata.org/entity/Q25350","Abies","151"
"http://www.wikidata.org/entity/Q157417","black locust","5"
"http://www.wikidata.org/entity/Q22699","Castanea sativa","111"
"http://www.wikidata.org/entity/Q62474322","cherry tree","1690"
"http://www.wikidata.org/entity/Q42292","Acer","5423"
"http://www.wikidata.org/entity/Q36050","Salix","907"
"http://www.wikidata.org/entity/Q157964","Sorbus","1102"
"http://www.wikidata.org/entity/Q157017","Magnolia","5"
"http://www.wikidata.org/entity/Q117085","Ilex","248"
"http://www.wikidata.org/entity/Q46871","Juglans regia","18"
"http://www.wikidata.org/entity/Q156907","Fraxinus excelsior","2346"
"http://www.wikidata.org/entity/Q12004","Quercus","2259"
"http://www.wikidata.org/entity/Q43284","Ginkgo biloba","11"
"http://www.wikidata.org/entity/Q18348215","Handkerchief tree","1"
"http://www.wikidata.org/entity/Q129324","Castanea","684"
"http://www.wikidata.org/entity/Q47161","Malus sylvestris","37"
"http://www.wikidata.org/entity/Q25239","Alnus","1687"
"http://www.wikidata.org/entity/Q147184","Laburnum","22"
"http://www.wikidata.org/entity/Q128550","Cedrus","85"
"http://www.wikidata.org/entity/Q45669","Eucalyptus","28"
