"tree","label","sampleImage"
"http://example.org/tree/tree11090","Sequoia","http://commons.wikimedia.org/wiki/Special:FilePath/Del%20Norte%20Titan%20230.jpg"
"http://example.org/tree/tree9747","cherry tree",
"http://example.org/tree/tree4051","Acer","http://commons.wikimedia.org/wiki/Special:FilePath/Acer%20campestre%20Sturm07018.jpg"
"http://example.org/tree/tree3270","Fraxinus excelsior","http://commons.wikimedia.org/wiki/Special:FilePath/Fraxinus%20excelsior.jpg"
"http://example.org/tree/tree22243","Quercus","http://commons.wikimedia.org/wiki/Special:FilePath/368%20Quercus%20robur.jpg"
"http://example.org/tree/tree31129","Sorbus","http://commons.wikimedia.org/wiki/Special:FilePath/Sorbus%20aucuparia%20aka%20rowan.jpg"
"http://example.org/tree/tree28077","Pinus","http://commons.wikimedia.org/wiki/Special:FilePath/Pinus%20pinaster.jpg"
"http://example.org/tree/tree19344","Cupressus","http://commons.wikimedia.org/wiki/Special:FilePath/Cupressus%20nootkatensis%2043603.jpg"
"http://example.org/tree/tree11008","Crataegus","http://commons.wikimedia.org/wiki/Special:FilePath/Common%20hawthorn.jpg"
"http://example.org/tree/tree21717","Crataegus","http://commons.wikimedia.org/wiki/Special:FilePath/Common%20hawthorn.jpg"
"http://example.org/tree/tree29252","beech tree","http://commons.wikimedia.org/wiki/Special:FilePath/Hayedo%20Tejera%20Negra%2020220925.jpg"
"http://example.org/tree/tree32103","hornbeam",
"http://example.org/tree/tree513","Ilex","http://commons.wikimedia.org/wiki/Special:FilePath/Ilex%20paraguariensis%20-%20K%C3%B6hler%E2%80%93s%20Medizinal-Pflanzen-074.jpg"
"http://example.org/tree/tree10856","Acer","http://commons.wikimedia.org/wiki/Special:FilePath/Acer%20campestre%20Sturm07018.jpg"
"http://example.org/tree/tree7213","linden tree",
"http://example.org/tree/tree14550","Acer","http://commons.wikimedia.org/wiki/Special:FilePath/Acer%20campestre%20Sturm07018.jpg"
"http://example.org/tree/tree32369","hornbeam",
"http://example.org/tree/tree8481","Salix","http://commons.wikimedia.org/wiki/Special:FilePath/Illustration%20Salix%20alba0.jpg"
"http://example.org/tree/tree9748","cherry tree",
"http://example.org/tree/tree22244","Quercus","http://commons.wikimedia.org/wiki/Special:FilePath/368%20Quercus%20robur.jpg"
"http://example.org/tree/tree28076","Pinus","http://commons.wikimedia.org/wiki/Special:FilePath/Pinus%20pinaster.jpg"
"http://example.org/tree/tree11009","Crataegus","http://commons.wikimedia.org/wiki/Special:FilePath/Common%20hawthorn.jpg"
"http://example.org/tree/tree19345","Cupressus","http://commons.wikimedia.org/wiki/Special:FilePath/Cupressus%20nootkatensis%2043603.jpg"
"http://example.org/tree/tree26998","Fraxinus excelsior","http://commons.wikimedia.org/wiki/Special:FilePath/Fraxinus%20excelsior.jpg"
"http://example.org/tree/tree21716","Crataegus","http://commons.wikimedia.org/wiki/Special:FilePath/Common%20hawthorn.jpg"
"http://example.org/tree/tree8260","Corylus avellana","http://commons.wikimedia.org/wiki/Special:FilePath/Ballachuan%20060.JPG"
"http://example.org/tree/tree24771","Alnus","http://commons.wikimedia.org/wiki/Special:FilePath/Tagalder8139.jpg"
"http://example.org/tree/tree32104","hornbeam",
"http://example.org/tree/tree1776","beech tree","http://commons.wikimedia.org/wiki/Special:FilePath/Hayedo%20Tejera%20Negra%2020220925.jpg"
"http://example.org/tree/tree1556","Acer","http://commons.wikimedia.org/wiki/Special:FilePath/Acer%20campestre%20Sturm07018.jpg"
"http://example.org/tree/tree512","Ilex","http://commons.wikimedia.org/wiki/Special:FilePath/Ilex%20paraguariensis%20-%20K%C3%B6hler%E2%80%93s%20Medizinal-Pflanzen-074.jpg"
"http://example.org/tree/tree27410","hornbeam",
"http://example.org/tree/tree19326","Sorbus","http://commons.wikimedia.org/wiki/Special:FilePath/Sorbus%20aucuparia%20aka%20rowan.jpg"
"http://example.org/tree/tree14551","Acer","http://commons.wikimedia.org/wiki/Special:FilePath/Acer%20campestre%20Sturm07018.jpg"
"http://example.org/tree/tree7212","linden tree",
"http://example.org/tree/tree19945","Salix","http://commons.wikimedia.org/wiki/Special:FilePath/Illustration%20Salix%20alba0.jpg"
"http://example.org/tree/tree10857","Acer","http://commons.wikimedia.org/wiki/Special:FilePath/Acer%20campestre%20Sturm07018.jpg"
"http://example.org/tree/tree9875","linden tree",
"http://example.org/tree/tree19644","Fraxinus excelsior","http://commons.wikimedia.org/wiki/Special:FilePath/Fraxinus%20excelsior.jpg"
"http://example.org/tree/tree22210","Ilex","http://commons.wikimedia.org/wiki/Special:FilePath/Ilex%20paraguariensis%20-%20K%C3%B6hler%E2%80%93s%20Medizinal-Pflanzen-074.jpg"
"http://example.org/tree/tree3810","Sorbus","http://commons.wikimedia.org/wiki/Special:FilePath/Sorbus%20aucuparia%20aka%20rowan.jpg"
"http://example.org/tree/tree37149","linden tree",
"http://example.org/tree/tree31127","Sorbus","http://commons.wikimedia.org/wiki/Special:FilePath/Sorbus%20aucuparia%20aka%20rowan.jpg"
"http://example.org/tree/tree28075","Pinus","http://commons.wikimedia.org/wiki/Special:FilePath/Pinus%20pinaster.jpg"
"http://example.org/tree/tree14156","linden tree",
"http://example.org/tree/tree30792","Quercus","http://commons.wikimedia.org/wiki/Special:FilePath/368%20Quercus%20robur.jpg"
"http://example.org/tree/tree22763","Castanea","http://commons.wikimedia.org/wiki/Special:FilePath/Ch%C3%A2taignier%20120807%201.jpg"
"http://example.org/tree/tree11658","linden tree",
"http://example.org/tree/tree27227","Chamaecyparis lawsoniana","http://commons.wikimedia.org/wiki/Special:FilePath/Chamaecyparis%20lawsoniana%20Siskiyou%20NF%203.jpg"
"http://example.org/tree/tree21715","Crataegus","http://commons.wikimedia.org/wiki/Special:FilePath/Common%20hawthorn.jpg"
"http://example.org/tree/tree1777","beech tree","http://commons.wikimedia.org/wiki/Special:FilePath/Hayedo%20Tejera%20Negra%2020220925.jpg"
"http://example.org/tree/tree29254","beech tree","http://commons.wikimedia.org/wiki/Special:FilePath/Hayedo%20Tejera%20Negra%2020220925.jpg"
"http://example.org/tree/tree9749","cherry tree",
"http://example.org/tree/tree511","Ilex","http://commons.wikimedia.org/wiki/Special:FilePath/Ilex%20paraguariensis%20-%20K%C3%B6hler%E2%80%93s%20Medizinal-Pflanzen-074.jpg"
"http://example.org/tree/tree15686","Castanea","http://commons.wikimedia.org/wiki/Special:FilePath/Ch%C3%A2taignier%20120807%201.jpg"
"http://example.org/tree/tree7211","linden tree",
"http://example.org/tree/tree32105","hornbeam",
"http://example.org/tree/tree10858","Acer","http://commons.wikimedia.org/wiki/Special:FilePath/Acer%20campestre%20Sturm07018.jpg"
"http://example.org/tree/tree3811","Sorbus","http://commons.wikimedia.org/wiki/Special:FilePath/Sorbus%20aucuparia%20aka%20rowan.jpg"
"http://example.org/tree/tree11659","linden tree",
"http://example.org/tree/tree1004","Pyrus","http://commons.wikimedia.org/wiki/Special:FilePath/Pears.jpg"
"http://example.org/tree/tree37349","Acer","http://commons.wikimedia.org/wiki/Special:FilePath/Acer%20campestre%20Sturm07018.jpg"
"http://example.org/tree/tree24643","Quercus","http://commons.wikimedia.org/wiki/Special:FilePath/368%20Quercus%20robur.jpg"
"http://example.org/tree/tree21714","Crataegus","http://commons.wikimedia.org/wiki/Special:FilePath/Common%20hawthorn.jpg"
"http://example.org/tree/tree7210","linden tree",
"http://example.org/tree/tree32106","hornbeam",
"http://example.org/tree/tree10859","Acer","http://commons.wikimedia.org/wiki/Special:FilePath/Acer%20campestre%20Sturm07018.jpg"
"http://example.org/tree/tree19642","Fraxinus excelsior","http://commons.wikimedia.org/wiki/Special:FilePath/Fraxinus%20excelsior.jpg"
"http://example.org/tree/tree3812","Sorbus","http://commons.wikimedia.org/wiki/Special:FilePath/Sorbus%20aucuparia%20aka%20rowan.jpg"
"http://example.org/tree/tree12393","Pinus","http://commons.wikimedia.org/wiki/Special:FilePath/Pinus%20pinaster.jpg"
"http://example.org/tree/tree28830","Sequoia","http://commons.wikimedia.org/wiki/Special:FilePath/Del%20Norte%20Titan%20230.jpg"
"http://example.org/tree/tree27148","Salix","http://commons.wikimedia.org/wiki/Special:FilePath/Illustration%20Salix%20alba0.jpg"
"http://example.org/tree/tree32365","hornbeam",
"http://example.org/tree/tree21713","Crataegus","http://commons.wikimedia.org/wiki/Special:FilePath/Common%20hawthorn.jpg"
"http://example.org/tree/tree37142","linden tree",
"http://example.org/tree/tree1416","Sorbus","http://commons.wikimedia.org/wiki/Special:FilePath/Sorbus%20aucuparia%20aka%20rowan.jpg"
"http://example.org/tree/tree27594","Betula","http://commons.wikimedia.org/wiki/Special:FilePath/Betula%20pendula%20001.jpg"
"http://example.org/tree/tree12392","Pinus","http://commons.wikimedia.org/wiki/Special:FilePath/Pinus%20pinaster.jpg"
"http://example.org/tree/tree16951","Acer","http://commons.wikimedia.org/wiki/Special:FilePath/Acer%20campestre%20Sturm07018.jpg"
"http://example.org/tree/tree3813","Sorbus","http://commons.wikimedia.org/wiki/Special:FilePath/Sorbus%20aucuparia%20aka%20rowan.jpg"
"http://example.org/tree/tree9549","Alnus","http://commons.wikimedia.org/wiki/Special:FilePath/Tagalder8139.jpg"
"http://example.org/tree/tree15253","Taxus","http://commons.wikimedia.org/wiki/Special:FilePath/Taxus%20baccata%20MHNT.jpg"
"http://example.org/tree/tree19500","Crataegus","http://commons.wikimedia.org/wiki/Special:FilePath/Common%20hawthorn.jpg"
"http://example.org/tree/tree27149","Salix","http://commons.wikimedia.org/wiki/Special:FilePath/Illustration%20Salix%20alba0.jpg"
"http://example.org/tree/tree32100","hornbeam",
"http://example.org/tree/tree32366","hornbeam",
"http://example.org/tree/tree9679","Quercus","http://commons.wikimedia.org/wiki/Special:FilePath/368%20Quercus%20robur.jpg"
"http://example.org/tree/tree21712","Crataegus","http://commons.wikimedia.org/wiki/Special:FilePath/Common%20hawthorn.jpg"
"http://example.org/tree/tree37143","linden tree",
"http://example.org/tree/tree7216","linden tree",
"http://example.org/tree/tree27418","hornbeam",
"http://example.org/tree/tree31169","hornbeam",
"http://example.org/tree/tree23631","Betula","http://commons.wikimedia.org/wiki/Special:FilePath/Betula%20pendula%20001.jpg"
"http://example.org/tree/tree16950","Acer","http://commons.wikimedia.org/wiki/Special:FilePath/Acer%20campestre%20Sturm07018.jpg"
"http://example.org/tree/tree3814","Sorbus","http://commons.wikimedia.org/wiki/Special:FilePath/Sorbus%20aucuparia%20aka%20rowan.jpg"
"http://example.org/tree/tree24640","Quercus","http://commons.wikimedia.org/wiki/Special:FilePath/368%20Quercus%20robur.jpg"
"http://example.org/tree/tree28079","Pinus","http://commons.wikimedia.org/wiki/Special:FilePath/Pinus%20pinaster.jpg"
"http://example.org/tree/tree8412","linden tree",
"http://example.org/tree/tree32367","hornbeam",
"http://example.org/tree/tree29824","cherry tree",
"http://example.org/tree/tree36887","Salix","http://commons.wikimedia.org/wiki/Special:FilePath/Illustration%20Salix%20alba0.jpg"
"http://example.org/tree/tree21711","Crataegus","http://commons.wikimedia.org/wiki/Special:FilePath/Common%20hawthorn.jpg"
"http://example.org/tree/tree34648","linden tree",
"http://example.org/tree/tree32101","hornbeam",
"http://example.org/tree/tree37144","linden tree",
"http://example.org/tree/tree7215","linden tree",
"http://example.org/tree/tree27098","Fraxinus excelsior","http://commons.wikimedia.org/wiki/Special:FilePath/Fraxinus%20excelsior.jpg"
"http://example.org/tree/tree22076","Crataegus","http://commons.wikimedia.org/wiki/Special:FilePath/Common%20hawthorn.jpg"
"http://example.org/tree/tree27592","Betula","http://commons.wikimedia.org/wiki/Special:FilePath/Betula%20pendula%20001.jpg"
"http://example.org/tree/tree5976","poplar","http://commons.wikimedia.org/wiki/Special:FilePath/Vleteren%20Oostvleteren%20Burgweg%20Knotpopulier%20%283%29%20-%20192779%20-%20onroerenderfgoed.jpg"
"http://example.org/tree/tree1008","Pyrus","http://commons.wikimedia.org/wiki/Special:FilePath/Pears.jpg"
"http://example.org/tree/tree28078","Pinus","http://commons.wikimedia.org/wiki/Special:FilePath/Pinus%20pinaster.jpg"
"http://example.org/tree/tree36886","Salix","http://commons.wikimedia.org/wiki/Special:FilePath/Illustration%20Salix%20alba0.jpg"
"http://example.org/tree/tree32368","hornbeam",
"http://example.org/tree/tree29823","cherry tree",
"http://example.org/tree/tree24777","Alnus","http://commons.wikimedia.org/wiki/Special:FilePath/Tagalder8139.jpg"
"http://example.org/tree/tree34649","linden tree",
"http://example.org/tree/tree32102","hornbeam",
"http://example.org/tree/tree13591","Pinus","http://commons.wikimedia.org/wiki/Special:FilePath/Pinus%20pinaster.jpg"
"http://example.org/tree/tree21710","Crataegus","http://commons.wikimedia.org/wiki/Special:FilePath/Common%20hawthorn.jpg"
"http://example.org/tree/tree7214","linden tree",
"http://example.org/tree/tree37145","linden tree",
"http://example.org/tree/tree1380","linden tree",
"http://example.org/tree/tree32969","Corylus avellana","http://commons.wikimedia.org/wiki/Special:FilePath/Ballachuan%20060.JPG"
"http://example.org/tree/tree11770","Pyrus","http://commons.wikimedia.org/wiki/Special:FilePath/Pears.jpg"
"http://example.org/tree/tree25814","Picea","http://commons.wikimedia.org/wiki/Special:FilePath/Engelmann%20Spruce%20cones%20RMNP.jpg"
"http://example.org/tree/tree2382","Quercus","http://commons.wikimedia.org/wiki/Special:FilePath/368%20Quercus%20robur.jpg"
"http://example.org/tree/tree27446","Pyrus","http://commons.wikimedia.org/wiki/Special:FilePath/Pears.jpg"
"http://example.org/tree/tree34646","linden tree",
"http://example.org/tree/tree23921","Cupressus","http://commons.wikimedia.org/wiki/Special:FilePath/Cupressus%20nootkatensis%2043603.jpg"
"http://example.org/tree/tree10455","linden tree",
"http://example.org/tree/tree5711","poplar","http://commons.wikimedia.org/wiki/Special:FilePath/Vleteren%20Oostvleteren%20Burgweg%20Knotpopulier%20%283%29%20-%20192779%20-%20onroerenderfgoed.jpg"
"http://example.org/tree/tree13549","Fraxinus excelsior","http://commons.wikimedia.org/wiki/Special:FilePath/Fraxinus%20excelsior.jpg"
"http://example.org/tree/tree15946","Fraxinus excelsior","http://commons.wikimedia.org/wiki/Special:FilePath/Fraxinus%20excelsior.jpg"
"http://example.org/tree/tree16955","Acer","http://commons.wikimedia.org/wiki/Special:FilePath/Acer%20campestre%20Sturm07018.jpg"
"http://example.org/tree/tree31122","Sorbus","http://commons.wikimedia.org/wiki/Special:FilePath/Sorbus%20aucuparia%20aka%20rowan.jpg"
"http://example.org/tree/tree33449","linden tree",
"http://example.org/tree/tree25813","Picea","http://commons.wikimedia.org/wiki/Special:FilePath/Engelmann%20Spruce%20cones%20RMNP.jpg"
"http://example.org/tree/tree9041","elm tree",
"http://example.org/tree/tree32012","Betula","http://commons.wikimedia.org/wiki/Special:FilePath/Betula%20pendula%20001.jpg"
"http://example.org/tree/tree8810","beech tree","http://commons.wikimedia.org/wiki/Special:FilePath/Hayedo%20Tejera%20Negra%2020220925.jpg"
"http://example.org/tree/tree9740","cherry tree",
"http://example.org/tree/tree34647","linden tree",
"http://example.org/tree/tree10454","linden tree",
"http://example.org/tree/tree25575","Pinus","http://commons.wikimedia.org/wiki/Special:FilePath/Pinus%20pinaster.jpg"
"http://example.org/tree/tree31683","Fraxinus excelsior","http://commons.wikimedia.org/wiki/Special:FilePath/Fraxinus%20excelsior.jpg"
"http://example.org/tree/tree35719","cherry tree",
"http://example.org/tree/tree25371","Acer","http://commons.wikimedia.org/wiki/Special:FilePath/Acer%20campestre%20Sturm07018.jpg"
"http://example.org/tree/tree16046","Fraxinus excelsior","http://commons.wikimedia.org/wiki/Special:FilePath/Fraxinus%20excelsior.jpg"
"http://example.org/tree/tree9741","cherry tree",
"http://example.org/tree/tree32967","Corylus avellana","http://commons.wikimedia.org/wiki/Special:FilePath/Ballachuan%20060.JPG"
"http://example.org/tree/tree29955","linden tree",
"http://example.org/tree/tree33446","linden tree",
"http://example.org/tree/tree1382","linden tree",
"http://example.org/tree/tree35600","Eucalyptus","http://commons.wikimedia.org/wiki/Special:FilePath/Eucalyptus%20flowers2.jpg"
"http://example.org/tree/tree251","Acer","http://commons.wikimedia.org/wiki/Special:FilePath/Acer%20campestre%20Sturm07018.jpg"
"http://example.org/tree/tree27484","Chamaecyparis lawsoniana","http://commons.wikimedia.org/wiki/Special:FilePath/Chamaecyparis%20lawsoniana%20Siskiyou%20NF%203.jpg"
"http://example.org/tree/tree10453","linden tree",
"http://example.org/tree/tree34644","linden tree",
"http://example.org/tree/tree286","beech tree","http://commons.wikimedia.org/wiki/Special:FilePath/Hayedo%20Tejera%20Negra%2020220925.jpg"
"http://example.org/tree/tree16350","Quercus","http://commons.wikimedia.org/wiki/Special:FilePath/368%20Quercus%20robur.jpg"
"http://example.org/tree/tree37140","linden tree",
"http://example.org/tree/tree9742","cherry tree",
